                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90467,                 1.3535,                 1.2707,                 0.9425,                0.98675,                0.99432,                0.83676,                0.60738,                 1.5764,                 1.1835,             0.00064865,             0.00064865,             0.00064865
                      2,                0.73107,                0.54515,                  1.096,                 0.9303,                0.88397,                0.95361,                0.74001,                0.82148,                   1.47,                 1.4625,              0.0012632,              0.0012632,              0.0012632
                      3,                0.70774,                 0.4937,                 1.0597,                0.43843,                0.88931,                0.45954,                0.18303,                 1.6974,                  5.093,                 2.0519,               0.001825,               0.001825,               0.001825
                      4,                 0.7077,                0.45835,                 1.0759,                0.91256,                0.96763,                0.96742,                 0.8125,                0.59756,                0.99628,                  1.114,              0.0017624,              0.0017624,              0.0017624
                      5,                0.69471,                0.45329,                 1.0712,                0.99305,                0.98013,                0.99358,                0.84119,                0.59737,                0.50438,                 1.1127,              0.0017624,              0.0017624,              0.0017624
                      6,                0.65937,                0.42446,                 1.0389,                0.95298,                0.96026,                0.98569,                0.82271,                0.63109,                0.38773,                 1.0947,              0.0016832,              0.0016832,              0.0016832
                      7,                0.65333,                0.40768,                 1.0456,                0.99336,                0.99069,                0.99493,                0.85534,                0.57602,                0.36857,                 1.1175,               0.001604,               0.001604,               0.001604
                      8,                0.61607,                0.37906,                 1.0073,                      1,                0.99875,                  0.995,                 0.8737,                0.55654,                0.31802,                 1.0463,              0.0015248,              0.0015248,              0.0015248
                      9,                0.60058,                 0.3614,                   1.01,                0.99282,                0.99338,                0.99248,                0.87243,                0.53256,                0.27651,                  1.048,              0.0014456,              0.0014456,              0.0014456
                     10,                0.59141,                0.34445,                 1.0059,                0.99288,                      1,                  0.995,                0.87544,                0.48327,                0.25652,                 1.0332,              0.0013664,              0.0013664,              0.0013664
                     11,                  0.557,                0.32285,                0.99928,                0.99917,                0.99338,                  0.995,                0.89508,                0.45192,                0.25382,                 1.0117,              0.0012872,              0.0012872,              0.0012872
                     12,                0.58041,                0.33289,                 1.0062,                0.99302,                0.99338,                  0.995,                0.88562,                0.49179,                0.26091,                 1.0184,               0.001208,               0.001208,               0.001208
                     13,                0.56359,                0.32664,                0.99957,                0.98598,                      1,                0.99487,                0.88219,                0.48674,                0.25975,                 1.0419,              0.0011288,              0.0011288,              0.0011288
                     14,                0.55685,                0.32253,                 0.9931,                0.99863,                0.99338,                  0.995,                0.88945,                0.49356,                0.25161,                 1.0308,              0.0010496,              0.0010496,              0.0010496
                     15,                0.54289,                0.31103,                0.98352,                0.99751,                0.99338,                  0.995,                0.88547,                 0.4915,                0.28212,                 1.0267,              0.0009704,              0.0009704,              0.0009704
                     16,                0.46793,                0.26993,                0.99958,                0.99082,                0.99338,                0.99487,                0.89804,                0.44368,                0.26524,                 1.0013,              0.0008912,              0.0008912,              0.0008912
                     17,                0.46079,                0.25311,                 1.0038,                      1,                0.99961,                  0.995,                0.90124,                0.47295,                0.26087,                 1.0038,               0.000812,               0.000812,               0.000812
                     18,                0.44195,                 0.2434,                  0.991,                0.99948,                      1,                  0.995,                 0.8937,                0.51084,                0.26659,                 1.0237,              0.0007328,              0.0007328,              0.0007328
                     19,                0.45219,                  0.245,                0.98485,                0.99961,                      1,                  0.995,                0.90592,                0.44677,                0.23546,                0.99882,              0.0006536,              0.0006536,              0.0006536
                     20,                0.43017,                0.23169,                0.98317,                      1,                0.99931,                  0.995,                0.89944,                0.45661,                0.21486,                0.98737,              0.0005744,              0.0005744,              0.0005744
                     21,                 0.4142,                0.22179,                0.97116,                      1,                 0.9996,                  0.995,                0.91152,                0.44177,                 0.2151,                 1.0041,              0.0004952,              0.0004952,              0.0004952
                     22,                0.40894,                0.21186,                0.95105,                0.99967,                      1,                  0.995,                0.90347,                0.43477,                0.22347,                0.98602,               0.000416,               0.000416,               0.000416
                     23,                0.40974,                0.20714,                 0.9548,                0.99958,                0.99338,                  0.995,                0.90709,                0.44613,                 0.2259,                0.99696,              0.0003368,              0.0003368,              0.0003368
                     24,                0.40031,                0.20702,                0.94579,                 0.9998,                      1,                  0.995,                0.91613,                0.43373,                0.22166,                 0.9857,              0.0002576,              0.0002576,              0.0002576
                     25,                0.38903,                0.19721,                0.94878,                      1,                0.99995,                  0.995,                0.91671,                0.42163,                0.19334,                0.97461,              0.0001784,              0.0001784,              0.0001784
